100km_ref,easting,northing,priority
SK,4,3,1
SE,4,4,2
SP,4,2,3
SJ,3,3,4
TF,5,3,5
SO,3,2,6
SD,3,4,7
TL,5,2,8
TA,5,4,9
SH,2,3,10
SN,2,2,11
ST,3,1,12
SS,2,1,13
SM,1,2,14
SR,1,1,15
SU,4,1,16
TQ,5,1,17
TR,6,1,18
TM,6,2,19
TG,6,3,20
SW,1,0,21
SX,2,0,21
NY,3,5,22
NZ,4,5,22
SY,3,0,22
SZ,4,0,22
HL,0,12,23
HM,1,12,23
HN,2,12,23
HO,3,12,23
HP,4,12,23
HQ,0,11,23
HR,1,11,23
HS,2,11,23
HT,3,11,23
HU,4,11,23
HV,0,10,23
HW,1,10,23
HX,2,10,23
HY,3,10,23
HZ,4,10,23
NA,0,9,23
NB,1,9,23
NC,2,9,23
ND,3,9,23
NE,4,9,23
NF,0,8,23
NG,1,8,23
NH,2,8,23
NJ,3,8,23
NK,4,8,23
NL,0,7,23
NM,1,7,23
NN,2,7,23
NO,3,7,23
NP,4,7,23
NQ,0,6,23
NR,1,6,23
NS,2,6,23
NT,3,6,23
NU,4,6,23
NW,1,5,23
NX,2,5,23
OV,5,5,23
SA,0,4,23
SB,1,4,23
SC,2,4,23
SF,0,3,23
SG,1,3,23
SL,0,2,23
SQ,0,1,23
SV,0,0,23
TB,6,4,23
TV,5,0,23
TW,6,0,23
